name,number_of_employees,Country,Zip_code,City,Address,Lat,Long,City_count
Twitter,1300,USA,94103,San Francisco,1355 Market St.,37.7768052,-122.4169244,50.0
eBay,15000,USA,95125,San Jose,2145 Hamilton Avenue,37.295005,-121.930035,16.0
Cisco,63000,USA,95134,San Jose,170 West Tasman Dr.,37.408802,-121.95377,16.0
Yahoo!,13600,USA,94089,Sunnyvale,701 First Avenue,37.418531,-122.025485,9.0
Google,28000,USA,,Mountain View,1600 Amphitheatre Parkway,37.421972,-122.084143,16.0
Jajah,110,USA,94043,Mountain View,2513 Charleston Road,37.4233896,-122.0899512,16.0
Livestream,120,USA,10011,New York,"111 8th Avenue, #1509",40.726155,-73.995625,30.0
Ustream,250,USA,94107,San Francisco,410 Townsend,37.392936,-122.07948,50.0
Yelp,800,USA,94103,San Francisco,706 Mission Street,37.786183,-122.402195,50.0
RockYou,106,USA,94063,Redwood City,585 Broadway,37.484619,-122.206893,7.0
Meebo,200,USA,94041,Mountain View,215 Castro Street,37.393679,-122.079017,16.0
Eventbrite,200,USA,94107,San Francisco,651 Brannan,37.779507,-122.39071,50.0
LinkedIn,4800,USA,94043,Mountain View,2029 Stierlin Ct,37.423258,-122.073635,16.0
Redfin,100,USA,98121,Seattle,2025 1st Ave,47.603122,-122.333253,8.0
oDesk,120,USA,94063,Redwood City,901 Marshall Street,37.479952,-122.178557,7.0
Simply Hired,100,USA,94085,Sunnyvale,370 San Aleso Ave,37.4219165,-122.0780632,9.0
Bazaarvoice,600,USA,78746,Austin,3900 N Capital of Texas Hwy,30.407545,-97.717667,5.0
PowerReviews,120,USA,94103,San Francisco,22 4th Street,37.779558,-122.393041,50.0
hi5,100,USA,94105,San Francisco,55 Second Street,37.788668,-122.400558,50.0
Tagged,162,USA,94119-3152,San Francisco,P.O. Box 193152,37.7753,-122.4186,50.0
NetSuite,1600,USA,94403,San Mateo,"2955 Campus Drive, Suite 100",37.536172,-122.327323,11.0
Adobe Systems,7173,USA,,San Jose,,37.320052,-121.877636,16.0
PayScale,130,USA,98104,Seattle,542 First Ave South,47.5999337,-122.3276962,8.0
Brightcove,220,USA,02142,Cambridge,One Cambridge Center,42.362993,-71.086596,6.0
PayPal,300000,USA,95125,San Jose,2145 E Hamilton Ave,37.294465,-121.927696,16.0
AOL,8000,USA,10003,New York,770 Broadway,40.7311317,-73.9919311,30.0
IMVU,150,USA,94041,Mountain View,200 West Evelyn Ave.,37.3927975,-122.0727749,16.0
