name,address,neighborhood,lat,lon,category,Distance
Company,"118 S Holden Ct, Chicago, IL 60605",Dearborn Park,41.869276,-87.626694,,0.0
Starbucks Express,"225 S Canal St, Chicago, IL 60606",Duncans Addition,41.878503,-87.639922,Coffee,1502.05
Starbucks Coffee Company - Regional Office,"564 W Randolph St (Randolph & Jefferson), Chicago, IL 60661",Carpenters Addition,41.884305,-87.642556,Coffee,2126.09
KinderCare Learning Center,"1501 S State St, Chicago, IL 60605",Film Row,41.862063,-87.627012,Preschool,801.59
Sonnets Academy,"229 S Peoria St (W Jackson Blvd), Chicago, IL 60607",Duncans Addition,41.878239,-87.649239,Preschool,2119.86
Downtown Children Learning Pl,"400 N McClurg Ct, Chicago, IL 60611",Cityfront Center,41.889244,-87.617852,Preschool,2336.15
Mark T. Skinner School Pre-K,"225 S Aberdeen St, Chicago, IL 60607",Duncans Addition,41.878268,-87.654313,Preschool,2500.86
Lily Pad Nursery Preschool,"1025 W Van Buren St, Chicago, IL 60607",Duncans Addition,41.876364,-87.652857,Preschool,2310.22
Sprouts Academy Preschool Managed By Bright Horizons,"350 W Ontario St, Chicago, IL 60654",Killgubbin,41.893254,-87.637884,Preschool,2820.58
Bright Horizons at Cook County/City of Chicago Child Development Center,"40 N Dearborn St (Washington), Chicago, IL 60602",Fort Dearborn Addition,41.88269,-87.629507,Preschool,1508.09
Bright Horizons at Lakeshore East,"360 E South Water St, Chicago, IL 60601",Cityfront Center,41.886588,-87.618185,Preschool,2048.48
Bright Horizons At River East,"325 E Grand Ave, Chicago, IL 60611",Cityfront Center,41.891552,-87.619217,Preschool,2550.87
Teddy Bear Pre School,"150 S Wacker Dr, Chicago, IL 60606",Haymarket,41.87957,-87.637613,Preschool,1459.07
Spy Bar,"646 N Franklin St (at W Erie St), Chicago, IL 60654",Killgubbin,41.893666,-87.635852,Club,2813.65
Sound Bar,"226 W Ontario St (at N Franklin St), Chicago, IL 60654",Killgubbin,41.893398,-87.6354,Club,2775.0
The Underground,"56 W Illinois St (at N Dearborn St.), Chicago, IL 60654",Loop,41.890941,-87.630139,Club,2423.28
Cuvee,"308 W Erie St, Chicago, IL 60654",Killgubbin,41.894185,-87.636117,Club,2875.1
Lite,"215 W Ontario St, Chicago, IL 60654",Killgubbin,41.893024,-87.634912,Club,2724.49
Disco,"111 W Hubbard St, Chicago, IL 60654",Loop,41.88987,-87.631723,Club,2325.17
No.18 Karaoke,"2201 S Wentworth Ave, Chicago, IL 60616",Armour Square,41.852655,-87.631798,Club,1894.12
Pink Monkey,"750 S Clinton St, Chicago, IL 60607",Near West Side,41.872365,-87.641063,Club,1241.25
Y Bar,"224 W Ontario St (btwn Franklin & Wells St), Chicago, IL 60654",Killgubbin,41.893309,-87.634872,Club,2754.33
Dance Studio,"58 W Kinzie St (Dearborn Street), Chicago, IL 60654",Fort Dearborn Addition,41.889436,-87.630129,Club,2257.27
Flat Top Grill,"30 S Wabash Ave (at E Monroe St), Chicago, IL 60603",Cityfront Place,41.88118,-87.626353,Vegan restaurant,1322.49
Protein Bar,"10 W Lake St (btwn Dearborn St. & State St.), Chicago, IL 60601",Fort Dearborn Addition,41.885861,-87.628653,Vegan restaurant,1849.27
Protein Bar & Kitchen,"235 S Franklin St (at W Adams St), Chicago, IL 60606",Haymarket,41.879004,-87.635026,Vegan restaurant,1282.92
True Food Kitchen,"1 W Erie St, Chicago, IL 60654",Loop,41.893968,-87.628377,Vegan restaurant,2746.12
Sweetgreen,"1000 W Randolph St, Chicago, IL 60607",Carpenters Addition,41.884674,-87.652495,Vegan restaurant,2740.82
Trader Joe's,"1147 S Wabash Ave (at W Roosevelt Rd), Chicago, IL 60605",Burnham Place,41.867859,-87.625528,Vegan restaurant,184.77
Cafecito,"26 E Ida B Wells Dr (at State St.), Chicago, IL 60605",Loop,41.875859,-87.626504,Vegan restaurant,731.35
Honeyberry,"901 S State St (9th), Chicago, IL 60605",Loop,41.870763,-87.627772,Vegan restaurant,187.85
UMAI Japanese Kitchen & Sushi,"730 S Clark St (at W Polk St), Chicago, IL 60605",Loop,41.872437,-87.630778,Vegan restaurant,488.08
TeaPotBrew Bakery,"1802 S Wabash Ave, Chicago, IL 60616",Film Row,41.857745,-87.625286,Vegan restaurant,1286.08
Sydnee's Pet Grooming,"1010 W Monroe St, Chicago, IL 60607",Duncans Addition,41.880551,-87.652461,Pet hairdresser,2478.63
Howlistic Grooming,"1258 S Halsted St (at Maxwell), Chicago, IL 60607",Conleys Patch,41.865667,-87.647123,Pet hairdresser,1742.79
Soggy Paws Grooming Boutique,"1609 S Halsted St, Chicago, IL 60608",Lower West Side,41.859526,-87.646408,Pet hairdresser,1962.6
Sydnee's Pet Grooming,"1526 S Wabash Ave, Chicago, IL 60605",Film Row,41.861089,-87.626051,Pet hairdresser,910.9
Monroe Grooming Studio,"843 W Monroe St, Chicago, IL 60607",Duncans Addition,41.880326,-87.649084,Pet hairdresser,2227.32
Chicago Midway International Airport (MDW),"5700 S Cicero Ave, Chicago, IL 60638",Garfield Ridge,41.787431,-87.741768,Airport,13191.76
